Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
1069,1810,9/22,Sat,n,P3C4,L'Épreuve délicate,Saint-Pierre,9/23/1810,1,,comédie,1,n,,,,,,"""Si le Feu d'Artifice n'a pas lieu""",,,,,,,,,,,,,,,,,,
1110,1811,1/24,Thurs,n,P3C2,L'Épreuve délicate,Saint-Philippe,1/24/1811,1,,comédie,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1117,1811,2/9,Sat,n,P3C2,L'Épreuve délicate,Saint-Philippe,2/10/1811,1,,comédie,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1144,1811,4/13,Sat,n,P3C2,L'Épreuve délicate,Saint-Philippe,4/14/1811,1,,comédie,1,n,,,,,,"changed from ""Le Déjeuner de Garçon""",,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,1806,5/7,Wed,,,L'Épreuve villageoise,Saint-Pierre,5/8/1806,1,,opéra,2,,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
674,1806,12/10,Wed,n,P3C1,L'Épreuve villageoise,Saint-Pierre,12/11/1806,2,,opéra,2,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
710,1807,4/15,Wed,n,P3C2,L'Épreuve villageoise,Saint-Pierre,4/16/1807,2,,Opéra,,n,,,,,,,,,,,,,,,,,,,,,,,,
761,1807,10/10,Sat,n,P2C4,L'Épreuve villageoise,Saint-Pierre,10/13/1807,2,,Opéra,2,y,Mr. Auguste,,"Mr. Godefroy, M. St. Martin","n, n","M. de la France, d'André",premier debut of Mr. Godefroy,,,,,,,,,,,,,,,,,,
795,1808,2/6,Sat,n,"P2C4,P2C3",L'Épreuve villageoise,Saint-Philippe,2/6/1808,2,,Opéra,2,n,,musique de Grétry,,,,"""Le Spectacle sera terminé par l'Anglaise dansée par M. Francisqui""",,,,,,,,,,,,,,,,,,
803,1808,3/5,Sat,n,"P3C1,P3C1",L'Épreuve villageoise,Saint-Pierre,3/6/1808,2,,Opéra,2,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
894,1809,1/18,Wed,n,P3C3,L'Épreuve villageoise,Saint-Pierre,1/19/1809,,,opéra,2,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1076,1810,10/17,Wed,n,P3C1,L'Épreuve villageoise,Saint-Pierre,10/18/1810,2,,opéra,2,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1077,1810,10/20,Sat,n,P3C1,L'Épreuve villageoise,Saint-Pierre,10/21/1810,2,,opéra,2,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,1807,8/19,Wed,n,P3C1,L'Opéra Comique,Saint-Pierre,8/20/1807,2,Dupaty and Ségur,opéra-comique,1,n,,Musique du célebre Dco. Della Maria,Les Acteurs De Societé,,,chosen by the orchestra personnel because of the great actor-singers in the cast and the success in France,,,,,,,,,,,,,,,,,,
753,1807,9/12,Sat,n,P2C4,L'Opéra Comique,Saint-Pierre,9/13/1807,2,,Opéra,1,n,,musique de célebre Della Maria,,,,seconde représentation,,,,,,,,,,,,,,,,,,
