id,date,year,title,production,works,genre,place,author
3971,1755-07-03T23:59:32Z,1755,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3972,1755-12-16T23:59:32Z,1755,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3973,1756-01-13T23:59:32Z,1756,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3974,1756-11-18T23:59:32Z,1756,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3975,1757-02-24T23:59:32Z,1757,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3976,1758-01-12T23:59:32Z,1758,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3977,1758-07-11T23:59:32Z,1758,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3978,1759-03-20T23:59:32Z,1759,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3979,1759-05-15T23:59:32Z,1759,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
398,1750-02-19T23:59:32Z,1750,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3980,1759-11-04T23:59:32Z,1759,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3981,1760-04-10T23:59:32Z,1760,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3982,1760-10-16T23:59:32Z,1760,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3983,1761-06-11T23:59:32Z,1761,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3984,1763-06-14T23:59:32Z,1763,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3985,1764-12-02T23:59:32Z,1764,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3986,1765-03-14T23:59:32Z,1765,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3987,1766-12-07T23:59:32Z,1766,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3988,1768-01-14T23:59:32Z,1768,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
